fid,dc
130261,2171
130263,2171
130265,2171
130267,2171
130271,2171
130273,2171
130275,2171
130277,2171
130281,2171
130283,2171
130285,2171
130287,2171
130289,2171
130293,2171
130297,2171
130299,2171
130301,2171
130303,2171
130305,2171
130307,2171
130309,2171
130311,2171
130313,2171
130315,2171
130317,2171
130319,2171
130321,2171
130323,2171
130325,2171
130327,2171
130329,2171
130331,2171
130335,2171
130337,2171
130339,2171
130341,2171
130343,2171
130345,2171
130623,2171
130625,2171
130627,2171
130629,2171
130631,2171
130633,2171
130635,2171
130637,2171
130639,2171
130641,2171
130643,2171
130645,2171
130647,2171
130649,2171
130651,2171
130653,2171
130655,2171
130657,2171
130659,2171
130661,2171
130663,2171
130665,2171
130667,2171
130669,2171
130671,2171
130673,2171
130675,2171
130677,2171
130679,2171
130681,2171
130683,2171
130685,2171
130687,2171
130689,2171
130693,2171
130695,2171
130697,2171
130699,2171
130701,2171
130703,2171
130705,2171
130707,2171
130709,2171
130711,2171
130713,2171
130715,2171
130717,2171
130719,2171
130721,2171
130723,2171
130725,2171
130727,2171
130729,2171
130731,2171
130733,2171
130735,2171
130737,2171
130739,2171
130741,2171
130743,2171
130745,2171
130747,2171
130749,2171
130751,2171
130753,2171
130757,2171
130759,2171
130761,2171
130763,2171
130765,2171
130767,2171
130769,2171
130771,2171
130773,2171
130775,2171
130777,2171
130779,2171
130781,2171
130783,2171
130785,2171
130787,2171
130789,2171
130791,2171
130793,2171
130795,2171
130797,2171
130799,2171
130801,2171
130803,2171
130805,2171
130807,2171
130809,2171
130811,2171
130813,2171
130815,2171
130817,2171
130819,2171
130821,2171
130823,2171
130825,2171
130827,2171
130829,2171
130831,2171
130833,2171
130837,2171
130839,2171
130841,2171
130843,2171
130845,2171
130847,2171
130849,2171
130851,2171
130853,2171
130855,2171
130857,2171
130859,2171
130861,2171
130863,2171
130865,2171
130867,2171
130869,2171
130871,2171
130873,2171
130875,2171
130877,2171
130879,2171
130881,2171
130883,2171
130885,2171
130887,2171
130889,2171
130891,2171
130893,2171
130895,2171
130897,2171
130899,2171
130901,2171
130903,2171
130905,2171
130907,2171
130909,2171
130911,2171
130913,2171
130915,2171
130917,2171
130919,2171
130921,2171
130923,2171
130925,2171
130927,2171
130929,2171
130931,2171
130933,2171
130935,2171
130937,2171
130939,2171
130941,2171
130943,2171
130945,2171
130947,2171
130949,2171
130951,2171
130953,2171
130955,2171
130959,2171
130961,2171
130963,2171
130965,2171
130967,2171
130969,2171
130971,2171
130973,2171
130975,2171
130977,2171
130979,2171
130981,2171
130983,2171
130985,2171
130987,2171
130989,2171
130991,2171
130993,2171
130995,2171
130997,2171
130999,2171
131001,2171
131003,2171
131005,2171
131007,2171
131009,2171
131011,2171
131013,2171
131015,2171
131017,2171
131019,2171
131021,2171
131023,2171
131025,2171
131027,2171
131029,2171
131031,2171
131033,2171
131037,2171
131039,2171
131041,2171
131043,2171
131045,2171
131047,2171
131049,2171
131051,2171
131053,2171
131055,2171
131057,2171
131059,2171
131061,2171
131063,2171
131065,2171
131067,2171
131069,2171
131071,2171
131073,2171
131075,2171
131077,2171
131079,2171
131081,2171
131083,2171
131085,2171
131087,2171
131089,2171
131091,2171
131093,2171
131095,2171
131097,2171
131099,2171
131101,2171
131103,2171
131105,2171
131107,2171
131109,2171
131111,2171
131113,2171
131115,2171
131117,2171
131119,2171
131121,2171
131123,2171
131125,2171
131127,2171
131129,2171
131131,2171
131133,2171
131135,2171
131137,2171
131139,2171
131141,2171
131143,2171
131145,2171
131147,2171
131149,2171
131151,2171
131153,2171
131155,2171
131157,2171
131159,2171
131161,2171
131163,2171
131165,2171
131167,2171
131169,2171
131171,2171
131173,2171
131175,2171
131177,2171
131179,2171
131181,2171
131183,2171
131185,2171
131187,2171
131189,2171
131191,2171
131193,2171
131195,2171
131197,2171
131199,2171
131201,2171
131203,2171
131205,2171
131207,2171
131209,2171
131211,2171
131213,2171
131215,2171
131217,2171
131219,2171
131221,2171
131223,2171
131225,2171
131227,2171
131229,2171
131231,2171
131233,2171
131235,2171
131237,2171
131239,2171
131241,2171
131243,2171
131245,2171
131247,2171
131249,2171
131251,2171
131253,2171
131255,2171
131257,2171
131259,2171
131261,2171
131263,2171
131265,2171
131267,2171
131269,2171
131271,2171
131273,2171
131275,2171
131277,2171
131279,2171
131281,2171
131283,2171
131285,2171
131287,2171
131289,2171
131291,2171
131293,2171
131295,2171
131297,2171
131299,2171
131301,2171
131303,2171
131305,2171
131307,2171
131309,2171
131311,2171
131313,2171
131315,2171
131317,2171
131319,2171
131321,2171
131323,2171
131325,2171
131327,2171
131329,2171
131331,2171
131333,2171
131335,2171
131337,2171
131339,2171
131341,2171
131343,2171
131345,2171
131347,2171
131349,2171
131351,2171
131353,2171
131355,2171
131357,2171
131359,2171
131361,2171
131363,2171
131365,2171
131367,2171
131369,2171
131371,2171
131373,2171
131375,2171
131377,2171
131379,2171
131381,2171
131383,2171
131385,2171
131387,2171
131389,2171
131391,2171
131393,2171
131395,2171
131397,2171
131399,2171
131401,2171
131403,2171
131405,2171
131407,2171
131409,2171
131411,2171
131413,2171
131415,2171
131417,2171
131419,2171
131421,2171
131423,2171
131425,2171
131427,2171
131429,2171
131431,2171
131433,2171
131435,2171
131437,2171
131439,2171
131441,2171
131443,2171
